"","logFC","logCPM","PValue","FDR"
"MSTRG.5458",-0.767199853434099,4.27669777081944,0.00265475817141992,0.0203928359851334
"MSTRG.1362",-0.767840364381937,3.90618526654363,0.00345611005163277,0.0254550564675073
"MSTRG.14353",-0.77214773219899,4.95141088048156,0.00560942430235516,0.0376438187177918
"MSTRG.14250",-0.775087896538428,3.89183446316488,0.00261347462239118,0.0202033384668002
"MSTRG.2085",-0.776075077708175,5.78746713204535,0.00665469526435276,0.0432501840804541
"MSTRG.15862",-0.777574197760747,3.82498357254104,0.00298951289587813,0.0224953445630433
"MSTRG.2351",-0.778928867662665,3.9376157469265,0.00617520347815606,0.0406773966925123
"MSTRG.10503",-0.778938697006335,5.19466293211511,0.00612968745282301,0.0405672158114194
"MSTRG.17229",-0.782398907189133,3.24412916781481,0.00483619402352026,0.0334327000147847
"MSTRG.16334",-0.783438390466441,3.48421367027572,0.00352859400876576,0.0258948117963739
"MSTRG.9553",-0.784324472537262,4.16589232396808,0.0052948344620531,0.0360096124488623
"MSTRG.2681",-0.786912842842149,3.49703124209367,0.00424680180824135,0.0301290023268464
"MSTRG.13985",-0.7889069294338,4.12714651966379,0.00306669909651301,0.0229618474432022
"MSTRG.1816",-0.78999484013551,4.76177762772289,0.00259812679256232,0.0201358966204957
"MSTRG.12055",-0.790911434461301,4.06532979852515,0.00190884955805671,0.0155261609538258
"MSTRG.7891",-0.793085336695339,5.02297884649799,0.00503737664470757,0.0346266252117829
"MSTRG.6921",-0.800473175999689,5.0237793806866,0.00297410167591291,0.0223932361480501
"MSTRG.2257",-0.802393880592178,3.95936885165212,0.00281813633848047,0.0214580700538024
"MSTRG.18297",-0.805977485443332,3.86822075973652,0.00152493117959087,0.0129672469537238
"MSTRG.6214",-0.811579101619835,5.27108794877889,0.00548471355783004,0.0370317139718008
"MSTRG.13439",-0.812358943524399,3.01387030276852,0.0073895931454686,0.0473183004996831
"MSTRG.1800",-0.813779487816916,3.34062498380596,0.00672434251487141,0.0436328735223247
"MSTRG.3856",-0.814136988496877,5.18173049674361,0.00274161433518445,0.0209478264052971
"MSTRG.98",-0.814813627821493,2.70346671320547,0.00562164261460124,0.0377050050709052
"MSTRG.17527",-0.814814152270525,3.86093298710222,0.00415927626085452,0.0296638119249214
"MSTRG.6994",-0.818729101136643,3.35442370358973,0.0044662819995625,0.0314293918487731
"MSTRG.8312",-0.819457393631201,4.7280498379656,0.00230476694970638,0.0181632962465519
"MSTRG.12880",-0.821174173330161,3.03497266689366,0.00516570673415369,0.0353091590147886
"MSTRG.15330",-0.828806706309877,6.44948743385128,0.00459441855812379,0.0321889755324628
"MSTRG.4481",-0.83232806601804,3.82257817665406,0.00490721938509472,0.0338275440605169
"MSTRG.1866",-0.833130373379022,7.0596320386271,0.00479054326501227,0.0331736936802672
"MSTRG.11100",-0.834013075703259,5.65330247468004,0.00323081175522404,0.0239991881145537
"MSTRG.4529",-0.834551697375271,3.96356199169944,0.00235356710963407,0.018499919879218
"MSTRG.3415",-0.836595141609262,5.56848782097581,0.00791104779635604,0.0499731642616569
"MSTRG.9513",-0.838357718706316,3.97735684623314,0.00159002662013478,0.0134175736994025
"MSTRG.4508",-0.84009682972173,3.05335661440776,0.00214458898854779,0.0171229166780966
"MSTRG.1077",-0.840360256080113,4.35278317207263,0.00283404611681797,0.0215657076223445
"MSTRG.12939",-0.84179366006925,2.5084081229243,0.00682404837881984,0.0441855315689293
"MSTRG.9642",-0.844966990409593,3.22374301874647,0.0057969079176597,0.0386884743571581
"MSTRG.13170",-0.846893728577797,4.95239535703765,0.00587404643134642,0.0390960068993829
"MSTRG.17504",-0.847019678857518,4.62973246170128,0.00111941424167948,0.0100015262151524
"MSTRG.3727",-0.848464048788965,5.66063523637563,0.00348718412477762,0.025606376181942
"MSTRG.7165",-0.849073600916642,2.72687015769637,0.00724863967146513,0.0465382568136304
"MSTRG.9195",-0.852406611905816,5.77197808757359,0.00551675536767861,0.0371861115692749
"MSTRG.11771",-0.855651521436719,2.59297087692029,0.00398464313649312,0.028562996022092
"MSTRG.7078",-0.85762466851732,3.08510144667688,0.0039083036736036,0.028137935269994
"MSTRG.680",-0.858186631710901,3.00080294458442,0.00312791685539898,0.0232775207843645
"MSTRG.7629",-0.859803509959364,5.43342791022819,0.00713500044836019,0.0459073748873044
"MSTRG.4623",-0.865157831651587,3.64704387860987,0.000949839720389734,0.00872360347427429
